"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 25 10:25:42 IST 2023","Wed Jan 25 10:25:49 IST 2023","7218","Suite","Test","resources.Condition","resources.Condition","tc004_Retrieve_ConditionInfo_statusCode_code","tc004_Retrieve_ConditionInfo_statusCode_code","Search By Patient and code - Verify that API returns records of Condition resource which contains code as 366.34 and status code 200 for valid patient"
"passed","Wed Jan 25 10:30:43 IST 2023","Wed Jan 25 10:30:45 IST 2023","1278","Suite","Test","resources.Servicerequest","resources.Servicerequest","tc007_invalidpath","tc007_invalidpath","Search By Patient - Verify API returns no ServiceRequest information and status code 404 for invalid endpoint"
"passed","Wed Jan 25 10:30:53 IST 2023","Wed Jan 25 10:30:55 IST 2023","2570","Suite","Test","resources.Servicerequest","resources.Servicerequest","tc012_ServiceRequestInfo_count","tc012_ServiceRequestInfo_count","Search By Patient - Verify API returns ServiceRequest information with assigned count and status code 200"
"passed","Wed Jan 25 10:28:49 IST 2023","Wed Jan 25 10:28:51 IST 2023","1642","Suite","Test","resources.Observation","resources.Observation","tc007_invalidparameters","tc007_invalidparameters","Search By Patient - Verify API returns status code 400 and no Observation information"
"failed","Wed Jan 25 10:29:23 IST 2023","Wed Jan 25 10:29:24 IST 2023","1233","Suite","Test","resources.Patient","resources.Patient","tc002_Retrieve_PatientInfo_identifier_StatusCode","tc002_Retrieve_PatientInfo_identifier_StatusCode","Search By identifier - Verify API returns Patient information of given identifier and status code 200 for valid patient"
"passed","Wed Jan 25 10:26:31 IST 2023","Wed Jan 25 10:26:33 IST 2023","1513","Suite","Test","resources.Encounter","resources.Encounter","tc006_invalidpatient","tc006_invalidpatient","Search By Patient - Verify API returns no Encounter information and status code 200 for invalid patient"
"passed","Wed Jan 25 10:28:09 IST 2023","Wed Jan 25 10:28:11 IST 2023","2014","Suite","Test","resources.Medicationrequest","resources.Medicationrequest","tc013_MedicationRequestInfo_count","tc013_MedicationRequestInfo_count","Search By Patient - Verify API returns MedicationRequest records along with provenance records of same count and status code 200"
"failed","Wed Jan 25 10:28:54 IST 2023","Wed Jan 25 10:28:57 IST 2023","2962","Suite","Test","resources.Observation","resources.Observation","tc010_Retrieve_ObservationInfo_code_StatusCode","tc010_Retrieve_ObservationInfo_code_StatusCode","Search By Patient and code - Verify API returns Observation information of code-706-2 and status code 200 for valid patient"
"passed","Wed Jan 25 10:29:16 IST 2023","Wed Jan 25 10:29:19 IST 2023","2845","Suite","Test","resources.Observation","resources.Observation","tc019_ObservationInfo_gtdate","tc019_ObservationInfo_gtdate","Search By Patient - Verify API returns Observation records with the condition 'greater than' provided date and status code 200"
"passed","Wed Jan 25 10:26:43 IST 2023","Wed Jan 25 10:26:45 IST 2023","1947","Suite","Test","resources.Encounter","resources.Encounter","tc007_EncounterInfo_count","tc007_EncounterInfo_count","Search By Patient - Verify API returns Encounter information with assigned count and status code 200"
